PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,LocationCode,Survived
1317,3,male,20.2,1,1,26.04,S,G84,LOC-449928,1
1617,2,male,32.7,1,0,19.7,Q,,LOC-682940,0
1777,2,female,39.6,0,0,26.12,S,C202,LOC-949144,1
1369,3,female,23.9,0,0,13.87,C,,LOC-452629,1
1649,3,male,25.1,0,0,8.09,C,G194,LOC-991782,0
1679,3,male,39.1,0,1,12.6,S,,LOC-931695,0
1650,3,female,37.9,1,1,9.49,Q,,LOC-604301,0
1626,2,female,24.6,0,2,28.76,S,,LOC-664448,1
1599,2,female,7.1,0,1,27.82,C,,LOC-810025,1
1454,2,male,44.2,0,1,40.88,S,F148,LOC-595317,0
1812,3,female,4.7,1,0,8.68,S,C177,LOC-616554,1
1763,2,male,53.2,0,0,27.27,S,E141,LOC-213010,0
1900,3,male,26.3,1,1,7.33,S,F73,LOC-625980,0
1676,3,female,0.5,0,1,11.36,S,,LOC-847511,1
1061,3,male,24.1,0,0,11.03,S,,LOC-876619,0
1334,1,male,37.1,0,0,104.94,S,C46,LOC-571646,1
1459,3,male,28.0,0,0,8.71,Q,G125,LOC-539118,1
1414,2,male,,1,1,32.71,S,E146,LOC-813478,0
1044,1,male,48.8,2,0,148.82,S,C69,LOC-827370,1
1624,2,male,47.6,0,0,18.97,S,G140,LOC-475490,0
1170,3,female,25.3,0,0,18.15,C,G113,LOC-976804,1
1643,3,male,25.4,0,0,19.53,Q,G183,LOC-606726,0
1848,1,male,50.9,0,2,73.3,S,,LOC-368327,1
1868,2,female,25.2,0,0,40.37,S,A107,LOC-845992,1
1791,3,male,23.3,2,0,8.18,C,,LOC-664473,0
1346,1,male,51.9,0,0,80.43,S,,LOC-496992,0
1029,3,female,45.5,3,1,17.86,C,,LOC-571059,1
1065,1,male,43.3,0,0,118.58,S,B115,LOC-531461,1
1185,3,female,2.2,0,1,8.93,C,F119,LOC-294775,0
1654,2,male,37.7,0,0,25.4,C,E191,LOC-237098,1
1878,2,male,25.9,1,1,24.81,Q,,LOC-834258,0
1881,2,female,30.1,0,0,26.6,S,,LOC-415796,1
1059,3,male,35.3,1,0,17.02,S,,LOC-223753,0
1015,1,male,,0,0,118.48,S,,LOC-588673,1
1097,3,female,35.5,0,1,9.38,C,,LOC-473137,0
1274,3,male,38.4,0,0,5.27,Q,F45,LOC-150421,0
1844,3,male,,1,1,16.66,S,,LOC-635463,0
1140,3,male,2.0,1,3,17.61,C,G20,LOC-928258,0
1252,3,male,,0,0,11.41,S,,LOC-478533,0
1506,3,male,34.5,0,1,17.92,Q,E102,LOC-732886,1
1201,1,male,43.5,0,2,116.19,C,B104,LOC-127063,1
1085,2,female,31.5,0,0,26.65,S,,LOC-775454,1
1087,3,male,19.4,2,1,14.62,S,F166,LOC-572817,0
1528,1,female,39.7,1,0,153.8,S,,LOC-744021,1
1158,3,male,4.0,1,1,9.07,S,,LOC-390074,1
1772,2,male,2.0,1,0,31.81,C,E150,LOC-835852,1
1573,1,male,35.4,0,0,108.88,S,,LOC-415552,1
1247,3,female,4.0,0,0,11.13,Q,,LOC-904509,0
1761,1,female,4.3,0,0,108.4,S,,LOC-718795,1
1775,3,male,,1,0,21.35,C,G114,LOC-144089,1
1677,1,female,39.2,0,1,71.9,S,B130,LOC-592858,1
1800,3,male,33.0,1,1,16.95,C,F126,LOC-882101,0
1499,3,male,24.2,1,0,17.14,C,,LOC-730441,0
1485,1,male,31.6,0,1,95.07,S,,LOC-708832,1
1461,2,male,0.5,0,1,26.53,S,E166,LOC-534589,1
1380,3,male,1.0,0,1,10.62,S,G64,LOC-888485,0
1002,3,female,22.0,0,0,13.84,S,F48,LOC-526964,1
1585,3,male,14.5,0,0,5.61,S,G124,LOC-685912,1
1667,1,male,,1,2,104.84,C,,LOC-653610,0
1049,3,male,0.5,1,0,11.42,S,D51,LOC-852418,1
1652,3,female,28.1,1,0,12.4,S,G95,LOC-631357,0
1524,2,male,,0,0,39.3,C,,LOC-681877,0
1508,3,female,28.3,1,0,10.9,S,,LOC-569429,0
1053,2,male,12.6,1,1,37.56,S,,LOC-625366,1
1330,1,male,28.4,0,0,78.77,S,A62,LOC-447649,1
1271,3,male,29.2,0,1,9.62,S,,LOC-634034,0
1089,3,female,17.8,0,0,11.81,C,,LOC-210229,1
1446,3,male,19.1,0,0,5.04,S,E130,LOC-948927,0
1066,3,female,47.2,0,0,11.18,S,,LOC-846940,0
1156,3,male,5.5,0,1,30.76,S,,LOC-272449,0
1171,3,female,13.6,0,1,9.78,S,G40,LOC-690271,0
1432,3,female,38.6,0,1,10.4,S,,LOC-735284,0
1841,3,male,6.0,0,0,7.9,C,,LOC-751106,1
1169,2,female,,0,0,65.03,S,E161,LOC-743412,1
1146,3,male,24.3,1,1,24.78,S,,LOC-726914,1
1325,2,male,,0,0,24.79,S,E114,LOC-674584,0
1593,3,male,14.5,0,0,10.5,S,,LOC-522013,0
1427,3,male,45.9,1,0,7.94,S,,LOC-158601,0
1052,3,female,42.7,2,0,16.72,S,,LOC-813435,1
1183,3,female,8.5,0,1,19.9,S,,LOC-520352,0
1014,3,male,37.2,1,0,15.23,S,D32,LOC-903956,1
1019,1,female,36.5,1,0,164.24,S,E148,LOC-592996,1
1694,2,female,50.4,0,0,13.08,S,,LOC-659678,1
1419,3,female,32.6,1,0,18.81,S,,LOC-851282,1
1890,1,female,28.4,0,0,100.35,S,D8,LOC-648583,1
1757,2,male,9.3,0,0,26.94,S,,LOC-912324,0
1145,1,female,27.2,0,0,60.01,C,B67,LOC-884940,1
1715,3,female,22.5,1,2,9.56,S,,LOC-138957,0
1840,2,female,20.7,1,1,24.93,S,,LOC-473362,1
1690,3,male,12.2,1,4,22.23,C,,LOC-578635,0
1056,3,male,34.5,0,0,11.91,C,,LOC-389543,0
1153,3,female,5.6,2,0,13.64,,G213,LOC-371515,1
1458,3,male,46.7,1,1,13.69,C,D209,LOC-243234,0
1725,1,female,46.6,0,0,172.85,S,,LOC-962395,1
1151,3,male,34.7,0,0,6.9,C,F37,LOC-260716,0
1326,1,female,24.0,0,0,65.53,Q,,LOC-171756,1
1218,1,female,36.8,1,1,136.05,S,A91,LOC-920934,1
1378,1,male,57.2,1,0,81.39,C,A219,LOC-867784,1
1774,3,female,19.7,0,0,4.53,C,,LOC-311399,1
1771,1,male,62.0,2,0,80.48,S,D71,LOC-679656,1
1282,3,female,2.2,1,0,11.54,C,,LOC-833022,0
1273,3,female,8.8,0,1,15.2,S,G103,LOC-217352,0
1656,3,male,29.2,1,1,12.4,S,F90,LOC-704552,0
1300,1,female,30.3,0,0,109.46,S,,LOC-274773,1
1356,3,male,35.2,1,0,10.68,C,G39,LOC-417235,0
1839,3,male,,0,1,6.88,C,,LOC-387196,1
1033,2,male,27.7,0,0,38.79,C,,LOC-440177,0
1270,1,male,32.0,0,1,75.01,C,,LOC-431650,1
1500,1,male,35.1,0,2,106.13,C,D3,LOC-377991,0
1494,1,male,8.1,0,1,137.55,S,,LOC-603614,0
1465,3,female,34.3,1,0,25.67,S,,LOC-644544,0
1255,1,female,11.0,1,1,89.38,S,,LOC-791573,1
1075,2,female,2.5,0,0,36.65,Q,E60,LOC-431945,1
1372,1,male,46.8,0,0,85.61,S,,LOC-676973,1
1045,2,male,27.9,0,0,42.6,S,,LOC-530359,1
1893,3,female,37.3,0,0,9.59,C,,LOC-907227,0
1550,3,female,44.3,1,1,27.27,C,,LOC-940676,1
1788,2,male,19.1,1,0,60.91,C,D111,LOC-332442,0
1460,2,female,11.0,0,0,39.41,C,,LOC-263163,1
1813,3,female,,1,0,18.17,S,G27,LOC-851484,1
1575,2,female,57.9,0,0,42.31,S,E5,LOC-412085,1
1767,3,female,34.1,0,1,14.43,S,G80,LOC-305799,0
1166,3,female,7.6,1,2,11.4,S,,LOC-807248,0
1469,1,female,4.9,0,0,67.21,Q,A37,LOC-421068,1
1482,1,male,41.1,0,0,68.13,S,,LOC-491356,1
1418,2,female,21.1,1,0,28.61,S,E210,LOC-148192,1
1851,2,female,51.4,1,0,32.85,S,,LOC-703777,1
1896,3,male,33.8,1,0,21.46,S,G95,LOC-844213,0
1437,1,female,40.9,0,0,147.04,S,A149,LOC-360768,0
1536,2,male,15.0,0,0,51.92,S,,LOC-281840,1
1879,1,male,73.4,0,0,101.02,C,,LOC-475141,1
1314,3,male,39.8,1,0,8.93,Q,,LOC-226570,1
1703,1,female,28.4,0,0,62.57,S,,LOC-556684,0
1114,1,female,40.6,0,0,67.61,S,,LOC-403488,1
1822,1,male,21.4,1,0,64.59,C,B162,LOC-193621,1
1318,1,male,12.3,0,1,61.71,S,B40,LOC-471808,1
1093,3,female,27.3,0,0,14.72,S,,LOC-442280,0
1392,1,male,28.3,0,0,65.29,S,,LOC-258973,1
1229,1,male,37.7,1,1,96.47,S,,LOC-764628,1
1549,2,male,39.1,1,1,19.57,S,,LOC-373255,0
1133,2,male,5.3,1,0,35.98,S,,LOC-910216,1
1196,2,male,37.4,0,0,9.53,Q,F21,LOC-518995,1
1527,2,male,46.6,0,0,25.51,C,D33,LOC-536523,0
1680,2,female,37.3,0,0,27.52,S,,LOC-749801,1
1309,3,female,7.7,0,0,13.1,S,G157,LOC-897021,0
1206,3,female,30.5,0,0,10.54,Q,E152,LOC-456278,1
1081,3,female,,0,0,7.81,C,F53,LOC-492704,1
1831,3,female,6.0,0,1,13.01,S,,LOC-611138,1
1421,2,male,37.9,2,0,15.27,C,,LOC-312943,1
1498,1,male,49.4,2,0,71.57,S,C105,LOC-618044,1
1098,1,male,58.4,0,0,90.9,S,,LOC-140669,1
1749,3,male,36.6,1,1,9.23,S,D140,LOC-147105,0
1409,2,female,11.6,1,1,22.38,S,F161,LOC-173545,0
1675,2,female,24.8,1,0,33.66,Q,D132,LOC-805319,1
1054,3,male,21.5,1,0,14.68,S,,LOC-473883,0
1603,3,male,35.0,0,0,13.09,C,,LOC-117445,0
1400,3,male,16.1,2,0,14.48,S,F114,LOC-702991,0
1496,3,female,9.0,0,0,26.47,S,,LOC-550823,1
1464,3,female,,1,0,7.3,S,,LOC-632432,0
1602,3,female,,1,0,22.11,S,F13,LOC-282701,1
1182,1,female,6.0,0,2,64.77,S,D46,LOC-647413,1
1442,1,male,35.8,0,1,101.18,S,A171,LOC-688701,1
1116,3,female,14.9,2,1,13.81,S,,LOC-282750,0
1748,3,male,35.4,1,0,13.31,S,D214,LOC-497147,0
1434,3,male,46.3,0,0,6.51,S,F32,LOC-298037,0
1035,1,male,32.8,1,0,149.21,Q,,LOC-774734,0
1661,3,male,24.5,1,0,9.12,S,G213,LOC-787694,0
1025,1,male,47.7,1,0,111.02,S,C103,LOC-884985,1
1003,3,female,30.7,2,1,11.71,S,,LOC-927147,1
1259,1,female,,0,0,64.53,S,,LOC-506598,1
1565,3,male,16.2,1,0,6.3,C,,LOC-148137,1
1013,3,male,43.6,2,1,10.89,S,,LOC-989427,0
1609,3,female,17.7,2,0,13.16,C,E75,LOC-953377,1
1083,1,male,23.4,0,1,115.66,S,,LOC-966291,0
1544,2,male,33.7,1,0,18.4,S,,LOC-295025,0
1050,3,female,32.5,1,0,12.58,C,,LOC-288216,1
1028,1,female,48.3,0,0,183.67,,C21,LOC-220314,1
1563,3,male,13.0,0,0,8.32,S,,LOC-540715,1
1580,2,female,28.4,0,0,22.72,S,D219,LOC-508382,0
1395,2,female,60.5,0,0,29.96,S,,LOC-907689,1
1608,2,male,44.8,0,1,38.99,C,,LOC-224719,0
1581,3,female,24.7,0,0,8.47,S,,LOC-792428,1
1381,3,female,20.3,1,2,13.52,C,,LOC-496249,1
1686,3,female,5.0,0,0,13.9,S,,LOC-486318,1
1150,3,male,21.6,2,0,8.89,S,F159,LOC-278220,0
1752,2,male,43.3,2,0,32.62,S,,LOC-868459,0
1722,3,female,13.3,0,1,11.58,C,,LOC-510496,0
1804,1,male,36.1,1,1,65.24,Q,,LOC-379834,1
1363,3,female,17.6,0,0,5.66,S,,LOC-759119,1
1101,1,male,47.9,0,0,96.43,S,,LOC-615991,0
1837,1,male,6.8,3,2,72.4,Q,,LOC-932723,1
1751,2,female,21.0,1,1,37.77,Q,D75,LOC-405801,1
